square_id,timestamp,internet_traffic
2245,2013-11-01 14:00:00+00:00,573.286
3533,2013-11-01 22:30:00+00:00,591.8706
3534,2013-11-01 22:30:00+00:00,604.0401
3633,2013-11-01 22:30:00+00:00,928.5732
3634,2013-11-01 22:30:00+00:00,931.88544
3673,2013-10-31 23:40:00+00:00,570.95575
3673,2013-10-31 23:50:00+00:00,587.5605
3673,2013-11-01 00:00:00+00:00,570.5903
3673,2013-11-01 00:10:00+00:00,575.47144
3673,2013-11-01 00:30:00+00:00,550.8317
3673,2013-11-01 00:40:00+00:00,564.78357
3673,2013-11-01 00:50:00+00:00,595.9773
3673,2013-11-01 01:00:00+00:00,552.0528
3673,2013-11-01 01:30:00+00:00,636.3541
3757,2013-11-01 13:00:00+00:00,552.42523
3773,2013-11-01 00:50:00+00:00,547.8125
3773,2013-11-01 01:30:00+00:00,582.9223
3857,2013-10-31 23:40:00+00:00,654.4237
3862,2013-11-01 17:50:00+00:00,564.37335
3956,2013-11-01 06:40:00+00:00,553.4728
3956,2013-11-01 06:50:00+00:00,566.89307
3957,2013-11-01 04:30:00+00:00,766.11316
3957,2013-11-01 10:40:00+00:00,580.57947
4057,2013-11-01 15:00:00+00:00,553.8802
4068,2013-11-01 14:20:00+00:00,571.3673
4068,2013-11-01 14:30:00+00:00,584.5182
4140,2013-11-01 11:10:00+00:00,568.50366
4147,2013-11-01 08:30:00+00:00,627.35095
4147,2013-11-01 08:40:00+00:00,644.739
4147,2013-11-01 08:50:00+00:00,758.08154
4147,2013-11-01 09:00:00+00:00,664.69635
4155,2013-10-31 23:00:00+00:00,600.8144
4155,2013-10-31 23:10:00+00:00,556.813
4155,2013-10-31 23:30:00+00:00,607.9674
4155,2013-11-01 22:10:00+00:00,615.8488
4155,2013-11-01 22:20:00+00:00,555.1179
4155,2013-11-01 22:50:00+00:00,547.47394
4156,2013-10-31 23:00:00+00:00,598.5086
4156,2013-10-31 23:10:00+00:00,566.18536
4156,2013-10-31 23:20:00+00:00,551.8611
4156,2013-10-31 23:30:00+00:00,599.4979
4156,2013-10-31 23:40:00+00:00,548.38416
4156,2013-10-31 23:50:00+00:00,550.777
4165,2013-11-01 22:50:00+00:00,576.84393
4168,2013-11-01 14:20:00+00:00,568.0947
4168,2013-11-01 14:30:00+00:00,583.531
4169,2013-11-01 14:30:00+00:00,615.86334
4247,2013-11-01 08:30:00+00:00,676.5732
4247,2013-11-01 08:40:00+00:00,691.2127
4247,2013-11-01 08:50:00+00:00,817.7337
4247,2013-11-01 09:00:00+00:00,716.7032
4254,2013-10-31 23:30:00+00:00,548.97205
4254,2013-11-01 21:50:00+00:00,573.32196
4254,2013-11-01 22:10:00+00:00,660.67993
4254,2013-11-01 22:20:00+00:00,588.604
4254,2013-11-01 22:50:00+00:00,561.9605
4255,2013-10-31 23:00:00+00:00,584.6162
4255,2013-10-31 23:10:00+00:00,551.7061
4255,2013-10-31 23:30:00+00:00,600.00275
4255,2013-11-01 22:10:00+00:00,631.9762
4255,2013-11-01 22:20:00+00:00,560.49005
4255,2013-11-01 22:50:00+00:00,549.27106
4256,2013-10-31 23:00:00+00:00,759.58636
4256,2013-10-31 23:10:00+00:00,783.6373
4256,2013-10-31 23:20:00+00:00,766.69806
4256,2013-10-31 23:30:00+00:00,768.68945
4256,2013-10-31 23:40:00+00:00,732.38556
4256,2013-10-31 23:50:00+00:00,679.5654
4256,2013-11-01 00:00:00+00:00,632.10474
4256,2013-11-01 00:10:00+00:00,607.6188
4256,2013-11-01 00:20:00+00:00,567.89197
4256,2013-11-01 00:30:00+00:00,590.2264
4256,2013-11-01 00:40:00+00:00,614.7378
4256,2013-11-01 09:10:00+00:00,623.82367
4256,2013-11-01 09:20:00+00:00,574.11426
4256,2013-11-01 09:40:00+00:00,579.31
4256,2013-11-01 09:50:00+00:00,781.68677
4256,2013-11-01 10:00:00+00:00,816.3147
4256,2013-11-01 11:10:00+00:00,555.8217
4256,2013-11-01 18:10:00+00:00,575.81323
4256,2013-11-01 18:30:00+00:00,583.9545
4256,2013-11-01 18:40:00+00:00,755.1007
4256,2013-11-01 18:50:00+00:00,715.8448
4256,2013-11-01 19:00:00+00:00,575.78625
4256,2013-11-01 19:10:00+00:00,720.35156
4256,2013-11-01 19:20:00+00:00,594.0319
4256,2013-11-01 19:30:00+00:00,601.31555
4256,2013-11-01 19:40:00+00:00,711.6385
4256,2013-11-01 19:50:00+00:00,678.98474
4256,2013-11-01 20:00:00+00:00,705.6683
4256,2013-11-01 20:10:00+00:00,775.0266
4256,2013-11-01 20:20:00+00:00,680.19745
4256,2013-11-01 20:30:00+00:00,667.292
4256,2013-11-01 20:40:00+00:00,583.8226
4256,2013-11-01 20:50:00+00:00,568.89594
4256,2013-11-01 21:50:00+00:00,630.43494
4256,2013-11-01 22:10:00+00:00,563.51495
4256,2013-11-01 22:20:00+00:00,586.94965
4257,2013-10-31 23:00:00+00:00,638.61194
4257,2013-10-31 23:10:00+00:00,606.86163
4257,2013-10-31 23:20:00+00:00,638.9458
4257,2013-10-31 23:30:00+00:00,649.85144
4257,2013-10-31 23:40:00+00:00,668.58954
4257,2013-10-31 23:50:00+00:00,585.7091
4257,2013-11-01 00:00:00+00:00,597.7435
4257,2013-11-01 00:10:00+00:00,573.6317
